Date,Low,High,Close,Open
1999-11-01,77.37,80.69,77.62,80
1999-11-02,77.31,81.69,80.25,78
1999-11-03,81,83.25,81.5,81.62
1999-11-04,80.62,85.37,83.62,82.06
1999-11-05,84,88.37,88.31,84.62
1999-11-08,86.75,97.73,96.37,87.75
1999-11-09,88,94.5,89.62,94.37
1999-11-10,88.12,93.25,91.44,88.25
1999-11-11,89.87,92.62,92.25,91.59
1999-11-12,87.37,92,90.62,91.94
1999-11-15,88.5,92.87,89.44,89.62
1999-11-16,88.5,91.75,91.19,90
1999-11-17,90,94.75,90.25,90.69
1999-11-18,88.44,91.12,89.62,91.06
1999-11-19,88.06,92.87,92.44,89.5
1999-11-22,89.25,91.75,90.62,91.75
1999-11-23,88.5,95.25,92.81,91.75
1999-11-24,91.69,95,94.69,93
1999-11-26,94.12,95.5,95.06,94.75
1999-11-29,93.25,99.75,94.56,94.25
1999-11-30,97.37,103.75,97.87,98.12
1999-12-01,100.06,104.5,103.06,101
1999-12-02,101.75,110.62,110.19,103.12
1999-12-03,111.87,115.56,115,112.19
1999-12-06,111.44,117.31,116,114.56
1999-12-07,114,118,117.81,116.56
1999-12-08,109.5,117.87,110.06,116.25
1999-12-09,100.87,111,105.25,111
1999-12-10,99,109.25,103,105.31
1999-12-13,98.94,102.5,99,102.39
1999-12-14,94.75,99.75,94.87,98.37
1999-12-15,91.06,97.25,97,93.25
1999-12-16,94,98.37,98.31,98
1999-12-17,98.5,102,100,100.87
1999-12-20,96.62,99.62,98,99.56
1999-12-21,97.94,103.06,102.5,98.19
1999-12-22,98.75,104.56,99.94,102.87
1999-12-23,101.06,104.25,103.5,101.81
1999-12-27,99.25,104.44,99.31,104.37
1999-12-28,95,99.62,98.19,99.12
1999-12-29,95.5,102.19,100.69,96.81
1999-12-30,99.62,104.12,100.31,102.19
1999-12-31,99.5,102.87,102.81,100.94
2000-01-03,101.69,112.5,111.94,104.87
2000-01-04,101.19,110.62,102.5,108.25
2000-01-05,103,110.56,104,103.75
2000-01-06,95,107,95,106.12
2000-01-07,95.5,101,99.5,96.5
2000-01-10,94.75,102.25,97.75,102
2000-01-11,90.5,99.37,92.75,95.94
2000-01-12,86.5,95.5,87.19,95
2000-01-13,92.5,98.75,96.75,94.48
2000-01-14,99.37,102.25,100.44,100
2000-01-18,100.44,106,103.94,101
2000-01-19,103.37,108.75,106.56,105.62
2000-01-20,113.5,121.5,113.5,115.5
2000-01-21,110.19,114.25,111.31,114.25
2000-01-24,105.12,112.75,106.25,108.44
2000-01-25,102.37,113.12,112.25,105
2000-01-26,109.75,114.19,110.19,110
2000-01-27,107,113,110,108.81
2000-01-28,100.62,110.87,101.62,108.19
2000-01-31,94.5,103.87,103.75,101
2000-02-01,100,105,100.25,104
2000-02-02,97,102.12,98.81,100.75
2000-02-03,100.25,104.25,103.31,100.31
2000-02-04,103.62,110,108,103.94
2000-02-07,105.94,114.25,114.06,108
2000-02-08,111.25,116.12,114.87,114
2000-02-09,112.44,117.12,112.62,114.12
2000-02-10,110,113.87,113.5,112.87
2000-02-11,108.25,114.12,108.75,113.62
2000-02-14,108.62,115.87,115.81,109.31
2000-02-15,115.19,119.94,119,115.25
2000-02-16,112.12,118.12,114.12,117.75
2000-02-17,113.12,115.5,114.87,115.19
2000-02-18,110.87,115.37,111.25,114.62
2000-02-22,106.69,116.94,113.81,110.12
2000-02-23,111,119,116.25,113.23
2000-02-24,111.75,119.12,115.2,117.31
